condition,step,avg_verifications,avg_backtracking,avg_subgoals,avg_backwards,total_verifications,total_backtracking,total_subgoals,total_backwards,accuracy,response_length
human_cot,140,1.445,0.47,0.0,0.03,289,94,0,6,0.55078125,208.5712890625
human_cot,150,1.7,0.775,0.0,0.025,340,155,0,5,0.556640625,225.310546875
human_cot,160,2.165,0.635,0.04,0.05,433,127,8,10,0.5546875,213.607421875
human_cot,170,2.09,0.715,0.0,0.02,418,143,0,4,0.552734375,218.498046875
human_cot,180,2.92,0.835,0.0,0.015,584,167,0,3,0.548828125,232.294921875
human_cot,190,2.875,0.62,0.0,0.02,575,124,0,4,0.55078125,217.982421875
human_cot,200,2.87,0.585,0.0,0.03,574,117,0,6,0.5595703125,217.771484375
human_cot,210,3.06,0.475,0.015,0.025,612,95,3,5,0.564453125,240.5576171875
human_cot,220,2.745,0.59,0.0,0.065,549,118,0,13,0.5634765625,227.9345703125
human_cot,230,3.045,0.645,0.0,0.04,609,129,0,8,0.548828125,222.166015625
human_cot,240,3.455,0.545,0.0,0.005,691,109,0,1,0.56640625,226.203125
human_cot,250,3.84,1.015,0.015,0.005,768,203,3,1,0.5556640625,229.638671875
backtracking_verification,0,2.974609375,3.111328125,0.669921875,0.1025390625,3046,3186,686,105,0.4453125,420.357421875
backtracking_verification,10,3.6,3.075,0.61,0.1,720,615,122,20,0.56640625,453.453125
backtracking_verification,20,4.605,5.55,0.205,0.135,921,1110,41,27,0.634765625,509.7392578125
backtracking_verification,30,4.875,4.785,0.085,0.11,975,957,17,22,0.6552734375,499.0595703125
backtracking_verification,40,4.375,5.325,0.2,0.01,875,1065,40,2,0.6708984375,476.0771484375
backtracking_verification,50,3.61,4.49,0.195,0.065,722,898,39,13,0.7021484375,448.0556640625
backtracking_verification,60,4.18,4.08,0.13,0.01,836,816,26,2,0.716796875,425.6103515625
backtracking_verification,70,3.105,3.85,0.11,0.02,621,770,22,4,0.720703125,401.3251953125
backtracking_verification,80,4.09,4.24,0.05,0.065,818,848,10,13,0.712890625,420.029296875
backtracking_verification,90,3.3,3.165,0.05,0.04,660,633,10,8,0.708984375,405.05859375
backtracking_verification,100,3.355,3.705,0.03,0.02,671,741,6,4,0.7275390625,404.26953125
backtracking_verification,110,2.825,4.345,0.065,0.025,565,869,13,5,0.72265625,416.8046875
backtracking_verification,120,3.47,3.395,0.02,0.03,694,679,4,6,0.7197265625,398.59765625
backtracking_verification,130,4.6,3.85,0.08,0.01,920,770,16,2,0.7265625,413.7880859375
backtracking_verification,140,3.25,3.765,0.045,0.035,650,753,9,7,0.7197265625,416.560546875
backtracking_verification,150,3.665,3.33,0.015,0.1,733,666,3,20,0.720703125,421.583984375
backtracking_verification,160,3.89,3.585,0.06,0.005,778,717,12,1,0.7236328125,402.416015625
backtracking_verification,170,3.38,3.64,0.015,0.04,676,728,3,8,0.736328125,420.509765625
